Date,MKTRF,SMB,HML,RMW,CMA,REV,MOM
3/31/1983,150.9476175,347.6090969,277.8918891,103.470748,206.8028794,307.5935175,778.5861403
4/30/1983,161.0158236,349.3123815,279.5592405,103.3051948,210.1117255,317.4672694,792.6006908
5/31/1983,161.8531058,371.0396116,275.6454111,101.3940487,206.8970161,310.8956969,779.9983398
6/30/1983,166.8219962,375.3065672,264.9779337,103.9491787,205.0556326,308.0354565,793.8823103
7/31/1983,160.0323409,378.9845715,279.8696936,103.917994,210.8792126,311.3314359,769.033794
8/31/1983,159.2321792,362.5366411,295.4024616,104.3856249,214.9913573,311.6739005,727.1983556
9/30/1983,160.6811921,363.4429827,298.6223484,105.648691,216.2598063,314.0426221,726.4711572
10/31/1983,155.1537591,349.5594608,313.7326392,104.7929366,222.6827225,317.6855165,693.3440724
11/30/1983,158.5050803,356.1311786,311.7874969,104.2899305,224.1078919,313.3014564,692.7200628
12/31/1983,155.6836898,354.4573621,316.9943481,105.9481404,226.8195974,317.4370356,697.8461912
1/31/1984,152.694563,354.2092419,341.1810168,104.9628227,233.6241853,330.9598533,680.4698211
2/29/1984,145.334685,348.4710522,352.644699,105.8235178,237.2920851,331.721061,681.7627137
3/31/1984,146.2502936,347.4953333,354.3373935,104.8393591,239.8785688,334.0762805,689.1939273
4/30/1984,145.5044171,343.9856304,358.9083459,108.2676062,241.7016459,328.7644677,703.3224028
5/31/1984,136.8178034,344.2608189,359.8415076,110.7794146,240.4931377,328.1069387,714.0129034
6/30/1984,139.3078874,344.5018015,350.4856284,114.1914206,236.8616913,316.2294675,709.014813
7/31/1984,135.4908513,336.8538615,352.203008,118.405084,231.7217926,311.0433043,729.7889471
8/31/1984,149.4193108,335.8432999,345.6872524,117.3512788,229.8448461,305.6933594,688.263956
9/30/1984,148.2239563,335.8432999,364.0778142,118.9941967,235.6599207,311.0735626,713.5232432
10/31/1984,146.9788751,331.0407407,365.934611,120.3864288,232.9262656,305.5675605,736.4273393
11/30/1984,144.3920469,327.7965415,380.8647432,121.3615589,237.7711319,308.7149064,748.946604
12/31/1984,147.0488605,325.5347453,380.2172731,122.8300337,234.7752157,299.1756158,760.4803817
1/31/1985,158.7980645,336.8959079,359.5714752,121.8105444,226.8867684,293.5511142,708.0072354
2/28/1985,160.7354009,340.264867,359.1399894,123.3453573,229.2237021,293.3749835,720.8929671
3/31/1985,159.3852235,335.228947,373.864729,124.8008325,235.962879,291.2920211,733.0039689
4/30/1985,157.8551254,334.893718,387.8098834,126.7851657,237.6382154,291.4376672,755.4338904
5/31/1985,165.8899512,327.0906944,384.4747184,128.4333729,234.3350442,279.8675918,785.651246
6/30/1985,167.9967536,328.2355118,386.2433021,130.6038969,232.9524675,273.1787563,814.1703862
7/31/1985,166.7535776,337.7215181,379.9475362,130.0161794,232.2303148,277.7135237,782.092073
8/31/1985,165.0526911,336.6408093,388.6103401,129.9641729,236.5962447,277.9912372,796.3261487
9/30/1985,157.559299,330.5476106,393.7399966,131.4717573,240.4054443,275.7117091,808.1117757
10/31/1985,163.8931828,325.4241227,396.8111685,132.6812975,237.7369438,268.9016299,847.5476304
11/30/1985,174.513461,325.4241227,385.422688,133.0660732,232.197673,262.4748809,844.1574399
12/31/1985,181.2845833,324.1549686,379.5257209,134.3568141,228.0181149,254.2069221,843.0600352
1/31/1986,182.4629331,327.4289338,381.5372072,131.6428065,223.3437436,247.0128663,868.0146122
2/28/1986,195.4725402,324.9404739,377.9507574,133.1566988,220.2392655,237.9227928,892.1454184
3/31/1986,205.0116002,323.0883132,376.2877741,134.6480538,222.4196343,232.6409068,914.0029812
4/30/1986,202.3259482,332.5224919,365.5635725,138.5663122,222.4641182,229.9190082,909.4329663
5/31/1986,211.6734071,328.3327085,365.1614526,141.4484915,224.9334699,226.7461259,927.8035122
6/30/1986,213.8536431,325.476214,370.2737129,144.0369988,226.8903911,212.2343738,975.6781734
7/31/1986,200.0600832,313.954356,387.9727964,143.215988,228.2744225,203.8298926,993.2403806
8/31/1986,212.2037302,300.2659461,401.6294389,140.7240298,235.6705138,213.5118125,943.4790375
9/30/1986,193.9542094,306.1811852,414.441418,140.6536678,244.2017864,221.7533685,888.1911659
10/31/1986,202.9924756,299.0471636,408.9707912,140.8365175,246.3751823,223.2612914,912.0835083
11/30/1986,205.3674875,293.4250769,408.7254088,142.4138865,247.8780709,223.5961833,909.164841
12/31/1986,198.6519707,293.6304745,410.2376928,143.5959218,247.8037075,224.8259623,912.8015004
1/31/1987,223.4238714,289.1966543,397.1921341,143.8831136,245.102647,231.9754279,931.9703319
2/28/1987,233.2321794,299.0582602,373.4003253,142.5881656,238.337814,231.6970574,911.7465757
3/31/1987,237.0571871,299.6862826,379.5987707,144.5273646,247.9428279,241.4746732,926.3345209
4/30/1987,232.0552805,295.0411452,378.3460948,143.8625388,250.9677304,250.868038,928.7429907
